HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spndng_Per_Dsg_Unt_2019,Avg_Spndng_Per_Clm_2019,Avg_Spndng_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spndng_Per_Dsg_Unt_2022,Avg_Spndng_Per_Clm_2022,Avg_Spndng_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spndng_Per_Dsg_Unt_2023,Avg_Spndng_Per_Clm_2023,Avg_Spndng_Per_Bene_2023,Outlier_Flag_2023,Avg_DY23_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_22_23,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23
90371,Hepatitis b immune globulin for injection into muscle,HyperHEP B*,Hepatitis B Immune Globulin*,133840,1253,312,161,106.81564246,428.97435897,831.30434783,0,82202.82,856,147,83,96.031331776,559.20285714,990.39542169,0,63082.52,566,134,70,111.45321555,470.76507463,901.17885714,0,76696.89,565,149,69,135.74670796,514.74422819,1111.5491304,0,71285.73,550,142,59,129.61041818,502.0121831,1208.2327119,0,133.5335,-0.045203968,0.0495454826
90375,Rabies immune globulin for injection,HyperRAB*,Rabies Immune Globulin/PF*,9387991.58,33961,3395,3366,276.43448603,2765.2405243,2789.0646405,0,8250491.09,31501,3069,3021,261.9120374,2688.3320593,2731.0463721,0,7771016.35,28617,2887,2868,271.5524461,2691.7271735,2709.5593968,0,8826899.47,31812,3189,3154,277.47074909,2767.9208122,2798.6364838,0,10115323.58,34896,3388,3369,289.87057485,2985.6326978,3002.4706382,0,294.214,0.0446887674,0.0119358396
90376,"Rabies immune globulin for injection beneath the skin and/or into muscle, heat-treated",Imogam Rabies-HT,Rabies Immune Globulin/PF,1258402.96,4708,498,491,267.29034834,2526.9135743,2562.9388187,0,888330.15,3303,348,348,268.94645777,2552.6728448,2552.6728448,0,871343.32,3065,333,329,284.28819576,2616.6466066,2648.4599392,0,1162752.22,3457,373,372,336.34718542,3117.2981769,3125.6780108,0,481219.13,1791,207,207,268.6873981,2324.7300966,2324.7300966,0,259.6495,-0.201160557,0.0013041248
90377,Rabies immune globulin for injection beneath the skin and/or into muscle,Kedrab,Rabies Immune Globulin/PF,,,,,,,,,,,,,,,,,41097.88,183,16,16,224.57857923,2568.6175,2568.6175,1,713054.99,3078,336,334,231.66179012,2122.1874702,2134.8951796,0,2018800.83,8585,864,862,235.15443564,2336.5750347,2341.9963225,0,240.97325,0.0150764851,0.0232751383
90632,Hepatitis a vaccine adult dosage,Havrix*,Hepatitis A Virus Vaccine/PF*,80365.23,1408,1408,1318,57.077578125,57.077578125,60.975136571,0,38403.54,657,657,649,58.452876712,58.452876712,59.173405239,0,6230.07,95,95,88,65.579684211,65.579684211,70.79625,0,4945.47,77,77,69,64.226883117,64.226883117,71.673478261,0,7695.51,91,91,89,84.566043956,84.566043956,86.466404494,1,70.55075,0.3166767536,0.1032720585
90662,"Influenza vaccine split virus, preservative free",Fluzone High-Dose 2017-2018*,Flu Vacc TS2017-18(65yr Up)/PF*,428151655.8,8274233,8263912,8149914,51.745177566,51.809803372,52.534499849,0,473373374.9,8280408.7,8270242,8112063,57.16787565,57.238152753,58.354252783,0,477053148.12,7674493.7,7674248,7631960,62.160862562,62.162852714,62.507291458,0,541191611.53,8178440.9,8168347,8069863,66.172956208,66.254728347,67.063296059,0,428126151.99,6190009.4,6189923,6134456,69.164055227,69.16502063,69.790402278,0,70.8065,0.0452012301,0.0752331411
90670,"Pneumococcal vaccine, 13-valent",Prevnar 13,Pneumoc 13-Val Conj-Dip Crm/PF,389206761.93,1947818,1947732,1931520,199.81680112,199.82562382,201.50283814,0,282435113.79,1292895.1,1292858,1284878,218.45168551,218.45795423,219.81473244,0,129033793.77,559938,559848,555013,230.44300221,230.48004774,232.48787644,0,55181214.98,235723.5,235701,232092,234.09297325,234.11531975,237.7557821,0,13946103.9,59419,59404,58121,234.70781905,234.76708471,239.94948298,0,257.988825,0.0026265026,0.0410555145
90671,"Pneumococcal conjugate vaccine, 15 valent (pcv15), for intramuscular use",Vaxneuvance,Pneumoc 15-Val Conj-Dip Crm/PF,,,,,,,,,,,,,,,,,,,,,,,,,5843123.82,24566,24565,24463,237.85409998,237.86378262,238.85557045,0,9219596.56,39234.5,39235,38719,234.98697728,234.98398267,238.11556497,0,246.195175,-0.012054124,-0.012054124
90672,"Influenza vaccine, quadrivalent for nasal administration",Flumist Quad 2018-2019*,Flu Vacc Qv Live 2018(2-49yrs)*,10407.75,391,391,388,26.618286445,26.618286445,26.824097938,0,12966.53,396,396,394,32.743762626,32.743762626,32.909974619,1,13316.69,352,352,346,37.831505682,37.831505682,38.487543353,1,8569.49,324,324,319,26.44904321,26.44904321,26.863605016,0,7635.84,314,314,310,24.317961783,24.317961783,24.631741935,0,27.104,-0.080573101,-0.022342426
90674,"Influenza vaccine, quadrivalent derived from cell cultures, preservative and antibiotic free",Flucelvax Quad 2017-2018 (90674)*,Flu Vac QS 17-18(4yr Up)cel/PF*,21316754.66,811018.5,811076,804700,26.283931452,26.282068092,26.490312738,0,18667049.51,675129.5,674862,668100,27.649583539,27.660543208,27.940502186,0,13428000.52,483522,462904,460331,27.771229685,29.008175604,29.170315534,0,15692292.11,509216.5,509192,504182,30.816542885,30.818025637,31.124260902,0,13504416.2,411531,411495,408057,32.815064236,32.817935091,33.094435827,0,32.7515,0.0648522243,0.0570504933
